Date,Consumer Discretionary,Consumer Staples,Health Care
2001-10-22,217.4600067138672,217.1199951171875,390.8500061035156
2001-10-29,215.47000122070312,217.3699951171875,384.1700134277344
2001-11-05,226.13999938964844,217.19000244140625,382.45001220703125
2001-11-12,235.36000061035156,220.7899932861328,386.2200012207031
2001-11-19,237.74000549316406,219.7899932861328,399.6499938964844
2001-11-26,236.22000122070312,217.30999755859375,398.55999755859375
2001-12-03,240.1999969482422,214.42999267578125,396.5799865722656
2001-12-10,234.35000610351562,213.9499969482422,378.7900085449219
2001-12-17,239.02000427246094,220.80999755859375,389.6199951171875
2001-12-24,244.8300018310547,219.44000244140625,390.010009765625
2001-12-31,244.7100067138672,216.14999389648438,380.44000244140625
2002-01-07,238.58999633789062,214.92999267578125,382.45001220703125
2002-01-14,234.4499969482422,218.6199951171875,378.510009765625
2002-01-21,235.08999633789062,218.5800018310547,379.989990234375
2002-01-28,237.08999633789062,220.8300018310547,382.2900085449219
2002-02-04,236.80999755859375,219.9199981689453,375.2200012207031
2002-02-11,240.27999877929688,225.66000366210938,382.0400085449219
2002-02-18,238.4600067138672,228.77000427246094,383.32000732421875
2002-02-25,246.92999267578125,232.8000030517578,388.1000061035156
2002-03-04,250.8800048828125,228.50999450683594,384.7200012207031
2002-03-11,253.92999267578125,232.75999450683594,394.8599853515625
2002-03-18,248.9499969482422,236.74000549316406,385.8599853515625
2002-03-25,246.6699981689453,236.99000549316406,383.1400146484375
2002-04-01,242.97000122070312,236.72999572753906,368.3900146484375
2002-04-08,246.3300018310547,241.7899932861328,370.69000244140625
2002-04-15,246.99000549316406,241.44000244140625,375.4700012207031
2002-04-22,240.14999389648438,241.3800048828125,366.04998779296875
2002-04-29,237.0,245.13999938964844,359.05999755859375
2002-05-06,230.82000732421875,243.94000244140625,349.2200012207031
2002-05-13,247.39999389648438,244.9499969482422,356.80999755859375
2002-05-20,239.8000030517578,241.77000427246094,352.4100036621094
2002-05-27,236.3000030517578,243.36000061035156,351.70001220703125
2002-06-03,229.25,239.91000366210938,335.07000732421875
2002-06-10,223.52000427246094,237.07000732421875,328.1300048828125
2002-06-17,218.0800018310547,236.7899932861328,318.67999267578125
2002-06-24,217.1699981689453,228.52000427246094,319.20001220703125
2002-07-01,218.44000244140625,230.02000427246094,312.6300048828125
2002-07-08,199.91000366210938,212.50999450683594,288.6099853515625
2002-07-15,180.7100067138672,192.5,264.010009765625
2002-07-22,182.9199981689453,209.58999633789062,289.30999755859375
2002-07-29,177.67999267578125,216.08999633789062,301.45001220703125
2002-08-05,183.47000122070312,223.38999938964844,315.8800048828125
2002-08-12,195.16000366210938,225.7100067138672,315.1600036621094
2002-08-19,199.8300018310547,223.30999755859375,324.20001220703125
2002-08-26,196.52999877929688,220.02999877929688,315.55999755859375
2002-09-02,196.27999877929688,216.42999267578125,306.6600036621094
2002-09-09,198.0,218.30999755859375,308.2200012207031
2002-09-16,191.9499969482422,208.8000030517578,296.5400085449219
2002-09-23,185.6199951171875,205.17999267578125,296.0199890136719
2002-09-30,177.22999572753906,205.02000427246094,294.3900146484375
2002-10-07,180.88999938964844,210.6999969482422,306.3500061035156
2002-10-14,191.44000244140625,213.64999389648438,324.8399963378906
2002-10-21,198.72999572753906,213.50999450683594,318.8399963378906
2002-10-28,191.0800018310547,212.17999267578125,315.4200134277344
2002-11-04,191.2899932861328,207.92999267578125,322.1300048828125
2002-11-11,197.33999633789062,208.6300048828125,321.8399963378906
2002-11-18,197.49000549316406,206.02000427246094,323.1099853515625
2002-11-25,200.3300018310547,204.14999389648438,320.29998779296875
2002-12-02,192.94000244140625,206.75999450683594,317.8500061035156
2002-12-09,185.19000244140625,205.72000122070312,311.989990234375
2002-12-16,184.97000122070312,204.91000366210938,310.1099853515625
2002-12-23,179.33999633789062,203.67999267578125,304.1700134277344
2002-12-30,185.17999267578125,208.1199951171875,320.5199890136719
2003-01-06,192.02999877929688,208.94000244140625,319.95001220703125
2003-01-13,187.24000549316406,210.5500030517578,314.0899963378906
2003-01-20,178.88999938964844,200.47999572753906,305.1300048828125
2003-01-27,176.72999572753906,197.10000610351562,307.0400085449219
2003-02-03,170.52999877929688,193.42999267578125,298.8399963378906
2003-02-10,172.69000244140625,195.02999877929688,294.1099853515625
2003-02-17,175.0500030517578,194.49000549316406,300.2799987792969
2003-02-24,175.14999389648438,191.3800048828125,301.0899963378906
2003-03-03,171.0399932861328,185.83999633789062,302.32000732421875
2003-03-10,174.35000610351562,189.1999969482422,295.3299865722656
2003-03-17,191.52000427246094,199.42999267578125,318.6199951171875
2003-03-24,183.19000244140625,192.1999969482422,314.9800109863281
2003-03-31,188.2100067138672,192.83999633789062,320.05999755859375
2003-04-07,188.47999572753906,193.86000061035156,311.54998779296875
2003-04-14,195.1300048828125,195.39999389648438,310.4800109863281
2003-04-21,195.5,193.19000244140625,316.4200134277344
2003-04-28,200.74000549316406,196.94000244140625,327.79998779296875
2003-05-05,202.66000366210938,199.35000610351562,327.79998779296875
2003-05-12,204.7899932861328,198.02999877929688,333.1300048828125
2003-05-19,201.7899932861328,201.52999877929688,322.1099853515625
2003-05-26,210.72000122070312,204.97000122070312,327.1600036621094
2003-06-02,216.19000244140625,208.0,338.2099914550781
2003-06-09,216.80999755859375,208.42999267578125,340.0899963378906
2003-06-16,215.9600067138672,207.77000427246094,351.3399963378906
2003-06-23,212.6199951171875,206.16000366210938,343.1000061035156
2003-06-30,214.9499969482422,208.14999389648438,343.5
2003-07-07,219.97000122070312,208.08999633789062,344.54998779296875
2003-07-14,219.0800018310547,207.5500030517578,342.3500061035156
2003-07-21,219.5,207.14999389648438,338.9100036621094
2003-07-28,217.0800018310547,203.22999572753906,330.6300048828125
2003-08-04,217.0399932861328,205.92999267578125,331.4599914550781
2003-08-11,221.22999572753906,207.63999938964844,327.1600036621094
2003-08-18,224.52999877929688,205.1300048828125,318.9200134277344
2003-08-25,229.0800018310547,208.9600067138672,322.82000732421875
2003-09-01,230.07000732421875,210.52000427246094,325.55999755859375
2003-09-08,224.4499969482422,209.4199981689453,335.4100036621094
2003-09-15,228.2100067138672,211.8800048828125,333.8299865722656
2003-09-22,218.6300048828125,208.63999938964844,322.239990234375
2003-09-29,227.4199981689453,213.2899932861328,328.8800048828125
2003-10-06,232.0800018310547,214.72000122070312,325.739990234375
2003-10-13,231.8000030517578,215.3000030517578,324.82000732421875
2003-10-20,229.63999938964844,214.27000427246094,324.30999755859375
2003-10-27,237.5,218.00999450683594,325.989990234375
2003-11-03,239.97000122070312,219.4499969482422,320.4700012207031
2003-11-10,236.0500030517578,217.00999450683594,336.239990234375
2003-11-17,232.42999267578125,216.49000549316406,328.32000732421875
2003-11-24,239.50999450683594,219.85000610351562,330.7200012207031
2003-12-01,235.4600067138672,218.61000061035156,335.4599914550781
2003-12-08,239.3300018310547,219.2899932861328,339.3900146484375
2003-12-15,243.67999267578125,220.25999450683594,343.260009765625
2003-12-22,244.97999572753906,220.66000366210938,344.5899963378906
2003-12-29,246.67999267578125,221.58999633789062,351.2200012207031
2004-01-05,248.69000244140625,219.77000427246094,351.5199890136719
2004-01-12,250.49000549316406,221.35000610351562,353.4200134277344
2004-01-19,253.1300048828125,222.80999755859375,357.17999267578125
2004-01-26,246.66000366210938,223.69000244140625,359.1600036621094
2004-02-02,249.5800018310547,230.4199981689453,368.2699890136719
2004-02-09,250.42999267578125,229.82000732421875,365.9200134277344
2004-02-16,250.9499969482422,234.75,363.2300109863281
2004-02-23,251.64999389648438,236.3699951171875,361.6400146484375
2004-03-01,255.52000427246094,237.72000122070312,365.55999755859375
2004-03-08,247.7100067138672,232.1699981689453,350.9100036621094
2004-03-15,246.10000610351562,231.52000427246094,343.29998779296875
2004-03-22,247.1999969482422,231.08999633789062,340.7099914550781
2004-03-29,253.88999938964844,235.0,353.9200134277344
2004-04-05,253.05999755859375,234.61000061035156,353.1700134277344
2004-04-12,251.69000244140625,237.3800048828125,364.739990234375
2004-04-19,254.61000061035156,238.9199981689453,362.8800048828125
2004-04-26,247.19000244140625,237.6199951171875,357.1499938964844
2004-05-03,239.9600067138672,235.0,360.70001220703125
2004-05-10,240.02999877929688,231.8800048828125,356.4800109863281
2004-05-17,240.75999450683594,231.24000549316406,349.4599914550781
2004-05-24,248.88999938964844,234.4199981689453,355.8800048828125
2004-05-31,249.25999450683594,236.3699951171875,359.9100036621094
2004-06-07,252.85000610351562,238.57000732421875,359.9200134277344
2004-06-14,252.02999877929688,236.52999877929688,358.260009765625
2004-06-21,251.08999633789062,232.74000549316406,351.6300048828125
2004-06-28,247.27999877929688,232.86000061035156,349.2799987792969
2004-07-05,242.60000610351562,233.30999755859375,344.25
2004-07-12,239.42999267578125,232.47999572753906,340.4599914550781
2004-07-19,237.3800048828125,225.10000610351562,334.6099853515625
2004-07-26,240.0399932861328,223.2899932861328,335.42999267578125
2004-08-02,230.41000366210938,220.19000244140625,323.4100036621094
2004-08-09,229.08999633789062,224.63999938964844,327.5199890136719
2004-08-16,240.55999755859375,227.49000549316406,337.94000244140625
2004-08-23,241.6300048828125,228.25,342.4800109863281
2004-08-30,243.75,230.5399932861328,344.57000732421875
2004-09-06,245.7899932861328,228.16000366210938,343.760009765625
2004-09-13,248.05999755859375,224.97999572753906,346.4599914550781
2004-09-20,246.4600067138672,218.9600067138672,338.8900146484375
2004-09-27,249.74000549316406,222.9499969482422,337.6600036621094
2004-10-04,249.00999450683594,219.9499969482422,325.80999755859375
2004-10-11,247.88999938964844,219.10000610351562,321.2900085449219
2004-10-18,247.3800048828125,217.82000732421875,313.4599914550781
2004-10-25,256.5400085449219,222.0399932861328,326.8699951171875
2004-11-01,265.82000732421875,232.3300018310547,333.3500061035156
2004-11-08,270.2699890136719,234.85000610351562,334.7300109863281
2004-11-15,266.0400085449219,232.02999877929688,329.04998779296875
2004-11-22,271.20001220703125,232.82000732421875,331.0899963378906
2004-11-29,270.1499938964844,233.30999755859375,339.1400146484375
2004-12-06,270.8900146484375,234.22000122070312,341.1199951171875
2004-12-13,272.29998779296875,234.24000549316406,344.9200134277344
2004-12-20,275.2799987792969,236.1999969482422,347.489990234375
2004-12-27,278.8999938964844,236.99000549316406,350.4800109863281
2005-01-03,271.239990234375,237.4600067138672,345.7200012207031
2005-01-10,272.6199951171875,238.60000610351562,344.67999267578125
2005-01-17,266.1700134277344,237.97999572753906,340.69000244140625
2005-01-24,264.29998779296875,239.42999267578125,338.9599914550781
2005-01-31,269.95001220703125,243.74000549316406,345.94000244140625
2005-02-07,269.5799865722656,241.74000549316406,347.25
2005-02-14,268.4800109863281,241.1300048828125,351.55999755859375
2005-02-21,266.6700134277344,240.55999755859375,354.54998779296875
2005-02-28,270.0799865722656,243.63999938964844,354.57000732421875
2005-03-07,265.760009765625,238.32000732421875,348.6700134277344
2005-03-14,264.2900085449219,237.30999755859375,344.05999755859375
2005-03-21,259.7200012207031,235.38999938964844,346.20001220703125
